[49.148.247.152 | 22-Feb-2023 09:42:11] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.247.152 | 22-Feb-2023 09:56:40] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.247.152 | 22-Feb-2023 09:56:41] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.247.152 | 22-Feb-2023 09:57:29] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.247.152 | 22-Feb-2023 09:57:30] 2-Super Admin: Generate Nth-distribution for Test1
[49.148.247.152 | 22-Feb-2023 10:01:42] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.247.152 | 22-Feb-2023 10:01:42] 2-Super Admin: Generate Nth-payslip for Test1
[49.148.247.152 | 22-Feb-2023 10:39:19] 2-Super Admin: Add leave for Adams Alfie 2023-02-14 - 1
[49.148.247.152 | 22-Feb-2023 10:44:54] 2-Super Admin: Added Payroll Test7 Array Success.
[49.148.247.152 | 22-Feb-2023 10:47:45] 2-Super Admin: Generate Payslip for Test7
[49.148.247.152 | 22-Feb-2023 10:47:46] 2-Super Admin: Generate Payslip for Test7
[49.148.247.152 | 22-Feb-2023 11:48:00] 2-Super Admin: Generate Distribution for Test7
[49.148.247.152 | 22-Feb-2023 11:48:00] 2-Super Admin: Generate Distribution for Test7
[49.148.247.152 | 22-Feb-2023 13:54:08] 2-Super Admin: Logged in.
[49.148.247.152 | 22-Feb-2023 14:14:33] 2-Super Admin: Set Holiday amount.
