[49.145.38.234 | 30-Jan-2024 14:39:09] 2-Super Admin: Set Holiday Actual Rate.
[58.71.120.250 | 30-Jan-2024 14:39:20] 185-Admin User: Logged out.
[122.55.76.9 | 30-Jan-2024 14:39:26] 187-Employee  User: Logged in.
[122.55.76.9 | 30-Jan-2024 14:39:27] 187-Employee  User: Logged in.
[120.28.228.216 | 30-Jan-2024 14:47:22] 187-Employee  User: Apply overtime 2024-01-30
[120.28.228.216 | 30-Jan-2024 14:51:32] 185-Admin User: Log  for  User, Employee successfully Deleted
[120.28.228.216 | 30-Jan-2024 14:51:38] 185-Admin User: Log  for  User, Employee successfully Deleted
[120.28.228.216 | 30-Jan-2024 14:51:44] 185-Admin User: Log  for  User, Employee successfully Deleted
[120.28.228.216 | 30-Jan-2024 14:51:51] 185-Admin User: Log  for  User, Employee successfully Deleted
[49.145.38.234 | 30-Jan-2024 14:53:10] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-30 14:53
[120.28.228.216 | 30-Jan-2024 14:53:20] 185-Admin User: Create Schedule half day PM
[120.28.228.216 | 30-Jan-2024 14:53:34] 185-Admin User: Log  for  User, Employee successfully Deleted
[120.28.228.216 | 30-Jan-2024 15:30:12] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-30 15:30
[120.28.228.216 | 30-Jan-2024 15:30:26] 185-Admin User: Log  for  User, Employee successfully Deleted
[58.71.120.250 | 30-Jan-2024 16:05:55] 185-Admin User: Logged in.
[58.71.120.250 | 30-Jan-2024 16:05:56] 185-Admin User: Logged in.
[120.28.228.216 | 30-Jan-2024 16:45:47] 185-Admin User: Logged in.
[120.28.228.216 | 30-Jan-2024 16:46:45] 185-Admin User: Create Schedule half day PM2
[49.145.38.234 | 30-Jan-2024 16:47:52] 2-Super Admin: Logged in.
[120.28.228.216 | 30-Jan-2024 16:49:14] 187-Employee  User: Logged in.
[49.145.38.234 | 30-Jan-2024 16:50:58] 2-Super Admin: Added/Updated User Dayoffs
[49.145.38.234 | 30-Jan-2024 16:50:58] 2-Super Admin: Added/Updated User Teams
