[49.148.249.230 | 28-Jul-2023 14:33:47] 2-Admin User: Generate Distribution for Test12345
[49.148.249.230 | 28-Jul-2023 14:33:47] 2-Admin User: Generate Distribution for Test12345
[49.148.249.230 | 28-Jul-2023 14:36:21] 2-Admin User: Update Schedule AM Waiting Area
[49.148.249.230 | 28-Jul-2023 14:41:34] 2-Admin User: Add leave for Bonares Miguelito 2023-07-14 - 2
[49.148.249.230 | 28-Jul-2023 14:42:36] 2-Admin User: Update leave ID 40 status to 0
[49.148.249.230 | 28-Jul-2023 14:42:56] 2-Admin User: Update leave ID 35 status to 0
[49.148.249.230 | 28-Jul-2023 14:43:43] 2-Admin User: Add holiday 0 on 2023-07-04
[49.148.249.230 | 28-Jul-2023 14:44:38] 2-Admin User: Set Holiday Actual Rate.
[120.28.244.19 | 28-Jul-2023 14:50:55] 2-Admin User: Delete leave ID 41
[120.28.244.19 | 28-Jul-2023 15:25:31] 2-Admin User: Logged in.
[120.28.244.19 | 28-Jul-2023 16:16:02] 2-Admin User: Logged in.
[120.28.244.19 | 28-Jul-2023 16:21:25] 42-Miguelito Bonares: Apply leave for Bonares Miguelito 2023-08-01 - 
[120.28.244.19 | 28-Jul-2023 16:43:50] 42-Miguelito Bonares: Logged out.
[120.28.244.19 | 28-Jul-2023 16:44:58] 2-Admin User: Logged out.
