[120.28.248.76 | 21-Nov-2023 13:50:21] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-21 13:00
[120.28.248.76 | 21-Nov-2023 13:50:22] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-21 17:00
[120.28.248.76 | 21-Nov-2023 16:07:38] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 16:07:46] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 16:07:53] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.248.76 | 21-Nov-2023 16:08:00] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 13:02:33] 2-Super Admin: Logged in.
[120.28.228.234 | 23-Nov-2023 14:12:07] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:12:14] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:12:21] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:12:28] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:13:03] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 14:13:04] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-23 12:00
[120.28.228.234 | 23-Nov-2023 14:13:05] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-23 13:00
[120.28.228.234 | 23-Nov-2023 14:13:06] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-23 17:00
[120.28.228.234 | 23-Nov-2023 14:13:20] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:13:27] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:13:35] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:13:42] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:14:03] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 14:14:04] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 14:14:05] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 14:14:06] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 14:15:00] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 14:15:01] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-23 12:00
[120.28.228.234 | 23-Nov-2023 14:15:02] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-23 13:00
[120.28.228.234 | 23-Nov-2023 14:15:03] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-23 17:00
[120.28.228.234 | 23-Nov-2023 14:19:23] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 14:21:39] 2-Super Admin: Log 2023-11-24 17:00                                     
                   
                                                 for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:22:00] 2-Super Admin: Add timelog for biometric ID 897645 for stimeOut : 2023-11-24 17:00:00
[120.28.228.234 | 23-Nov-2023 14:22:17] 2-Super Admin: Log 2023-11-23 08:00                                  
                  
                                               for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 14:25:07] 2-Super Admin: Add timelog for biometric ID 897645 for stimeOut : 2023-11-24 17:00:00
[120.28.228.234 | 23-Nov-2023 15:30:29] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 15:30:30] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-23 12:00
[120.28.228.234 | 23-Nov-2023 15:30:31] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-23 13:00
[120.28.228.234 | 23-Nov-2023 15:30:32] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-23 17:00
[120.28.228.234 | 23-Nov-2023 16:53:21] 2-Super Admin: Log headache                                      
              
                                               for Bonares, Miguelito successfully Deleted
[120.28.228.234 | 23-Nov-2023 16:54:17] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 16:54:18] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-23 12:00
[120.28.228.234 | 23-Nov-2023 16:54:19] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-23 13:00
[120.28.228.234 | 23-Nov-2023 16:54:20] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-23 17:00
[120.28.228.234 | 23-Nov-2023 17:00:47] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-23 8:00
[120.28.228.234 | 23-Nov-2023 17:00:48] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-23 12:00
[120.28.228.234 | 23-Nov-2023 17:00:49] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-23 13:00
[120.28.228.234 | 23-Nov-2023 17:00:50] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-23 17:00
[120.28.227.84 | 24-Nov-2023 15:25:46] 2-Super Admin: Logged in.
[120.28.227.84 | 24-Nov-2023 15:28:07] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-23 8:00
[120.28.227.84 | 24-Nov-2023 15:28:08] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-23 12:00
[120.28.227.84 | 24-Nov-2023 15:28:09] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-23 13:00
[120.28.227.84 | 24-Nov-2023 15:28:10] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-23 17:00
[120.28.227.84 | 24-Nov-2023 15:28:29] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.227.84 | 24-Nov-2023 15:28:36] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.227.84 | 24-Nov-2023 15:28:44] 2-Super Admin: Log  for Bonares, Miguelito successfully Deleted
[120.28.227.84 | 24-Nov-2023 15:28:51] 2-Super Admin: Log 2023-11-24 17:00                                                   
                               
                                                 for Bonares, Miguelito successfully Deleted
[120.28.227.84 | 24-Nov-2023 15:29:15] 2-Super Admin: Add timelog for biometric ID 897645 First Time in : 2023-11-24 8:00
[120.28.227.84 | 24-Nov-2023 15:29:16] 2-Super Admin: Add timelog for biometric ID 897645 First Time out : 2023-11-24 12:00
[120.28.227.84 | 24-Nov-2023 15:29:17] 2-Super Admin: Add timelog for biometric ID 897645 Second Time in : 2023-11-24 13:00
[120.28.227.84 | 24-Nov-2023 15:29:18] 2-Super Admin: Add timelog for biometric ID 897645 Second Time out : 2023-11-24 17:00
[120.28.227.84 | 24-Nov-2023 15:48:31] 2-Super Admin: Logged in.
[120.28.227.84 | 24-Nov-2023 15:48:37] 2-Super Admin: Logged out.
[120.28.227.84 | 24-Nov-2023 15:48:42] 42-Miguelito Bonares: Logged in.
[120.28.227.84 | 24-Nov-2023 16:05:45] 2-Super Admin: Log Absent: attend kasal                                      
                    
                                                   for Bonares, Miguelito successfully Deleted
[120.28.227.84 | 24-Nov-2023 16:05:54] 2-Super Admin: Log Absent: attend kasal                                      
                    
                                                   for Bonares, Miguelito successfully Deleted
